Subject,Methods,Condition1,Task,Condition2,Label,Mental,Physical,Temporal,Task Complexity,Stress,Distractions,Performance,Effort,Frustration,Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,mds1,mds2
19,2,PL,2,Peg,148,65,80,80,95,50,0,95,95,95,4.212111973,-1.483097621,0.586315981,0.450699561,-0.087963559,0.603495515,-0.593158035,-0.379906566,-0.804638207,0.634978,-0.084451
19,3,UL,1,Clock,149,45,55,40,50,0,0,15,40,25,-0.547147718,-0.176014466,1.158913798,-0.841982048,0.392792653,0.524614932,0.008945971,-0.834012198,-0.164996654,0.160095,-0.17144
19,3,UL,2,Peg,150,40,55,25,45,40,0,30,50,35,0.085794699,-0.147719189,0.549684621,-0.098404769,-0.404647174,0.706991964,0.542471561,0.176370583,0.032570836,0.553661,-0.224485
19,4,VL,1,Clock,151,65,65,80,80,60,5,55,75,75,3.101682174,-0.169080979,1.057061077,0.369916363,-0.278086873,0.075434853,-0.344030061,-0.065455755,-0.567035875,-0.341593,-0.428494
19,4,VL,2,Peg,152,95,75,65,95,70,10,80,80,80,4.24934181,-0.455709932,0.41524748,-0.348341196,-0.597730777,0.129275854,-0.329182031,0.115762956,0.147291131,0.441186,0.299053
41,1,CL,1,Clock,153,20,10,35,30,30,10,15,20,5,-1.815857634,0.894159301,0.337844929,0.124811967,-0.110313866,-0.153484148,-0.588879206,0.455702599,-0.018337222,-0.632525,0.232024
41,1,CL,2,Peg,154,40,10,60,25,45,20,65,50,5,-0.134613068,0.646060409,-0.50207154,0.996271619,0.745676523,-0.637228466,-1.096068361,0.65560407,0.765748787,-0.461612,-0.450846
41,2,PL,1,Clock,155,80,65,35,60,60,10,45,70,75,2.407495775,0.00350307,0.124393894,-0.253561824,-0.919409025,0.069044057,0.77971418,-0.222777744,0.143361479,0.530503,0.576641
41,2,PL,2,Peg,156,80,85,55,45,75,10,15,85,80,2.871183642,0.782933023,0.977669536,0.400722082,-0.580944825,0.064185688,1.769105735,-0.364685589,-0.021733453,0.002239,0.401629
41,3,UL,1,Clock,157,60,35,30,55,35,10,15,60,25,0.173231957,0.22051747,0.505310953,-0.767227839,-0.000643225,-0.517469491,0.461080593,0.305500334,0.069784043,0.488856,-0.309386
41,3,UL,2,Peg,158,55,45,30,55,60,15,35,60,35,0.972195025,0.502853594,-0.013492074,-0.253428896,-0.339851423,-0.030038942,0.414766127,0.760920766,0.143729388,0.054728,-0.613436
41,4,VL,1,Clock,159,75,65,35,60,70,10,20,80,60,2.150532124,0.379333706,0.598998087,-0.287526587,-0.646711508,-0.157963392,1.370162085,0.381139204,0.00226797,0.025422,0.050118
41,4,VL,2,Peg,160,95,65,90,60,85,10,85,85,90,4.380152289,0.009609969,0.432029017,1.252689946,-0.582678126,-0.366724221,-0.286518387,-0.234576744,0.535009752,-0.013981,-0.044728
